Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
50X50CM,MW205,INSERTS,100% Feather,Normal,$11.50,,,,,,,
50X50CM,MW206,INSERTS,100% Feather,Firm Fill,12.1,,,,,,,
50X50CM,MW207,INSERTS,100% Feather,Extra Firm Fill,12.7,,,,,,,
50X50CM,MW208,INSERTS,Duck Feather - Foam,Normal,$13.50,,,,,,,
50X50CM,MW209,INSERTS,Duck Feather - Foam,Firm Fill,14.1,,,,,,,
50X50CM,MW210,INSERTS,Duck Feather - Foam,Extra Firm Fill,14.7,,,,,,,
50X50CM,MW211,INSERTS,Duck Feather - Fibre,Normal,$13.50,,,,,,,
50X50CM,MW212,INSERTS,Duck Feather - Fibre,Firm Fill,14.1,,,,,,,
50X50CM,MW213,INSERTS,Duck Feather - Fibre,Extra Firm Fill,14.7,,,,,,,
50X50CM,MW214,INSERTS,100% Polyester,Normal,$13.50,,,,,,,
50X50CM,MW215,INSERTS,100% Polyester,Firm Fill,14.1,,,,,,,
50X50CM,MW216,INSERTS,100% Polyester,Extra Firm Fill,14.7,,,,,,,
50X50CM,MW217,INSERTS,30% Down 70% Feather,Normal,$26.50,,,,,,,
50X50CM,MW218,INSERTS,30% Down 70% Feather,Firm Fill,29.1,,,,,,,
50X50CM,MW219,INSERTS,30% Down 70% Feather,Extra Firm Fill,31.7,,,,,,,
50X50CM,MW220,INSERTS,50% Down 50% Feather,Normal,$45.00,,,,,,,
50X50CM,MW221,INSERTS,50% Down 50% Feather,Firm Fill,47.6,,,,,,,
50X50CM,MW222,INSERTS,50% Down 50% Feather,Extra Firm Fill,50.2,,,,,,,
50X50CM,MW223,INSERTS,80% Down 20% Feather,Normal,$56.00,,,,,,,
50X50CM,MW224,INSERTS,80% Down 20% Feather,Firm Fill,58.6,,,,,,,
50X50CM,MW225,INSERTS,80% Down 20% Feather,Extra Firm Fill,61.2,,,,,,,
50X80CM,MW226,INSERTS,100% Feather,Normal,$26.00,,,,,,,
50X80CM,MW227,INSERTS,100% Feather,Firm Fill,28.6,,,,,,,
50X80CM,MW228,INSERTS,100% Feather,Extra Firm Fill,31.2,,,,,,,
50X80CM,MW229,INSERTS,Duck Feather - Foam,Normal,$32.75,,,,,,,
50X80CM,MW230,INSERTS,Duck Feather - Foam,Firm Fill,26.6,,,,,,,
50X80CM,MW231,INSERTS,Duck Feather - Foam,Extra Firm Fill,27.2,,,,,,,
50X80CM,MW232,INSERTS,Duck Feather - Fibre,Normal,$32.75,,,,,,,
50X80CM,MW233,INSERTS,Duck Feather - Fibre,Firm Fill,33.35,,,,,,,
50X80CM,MW234,INSERTS,Duck Feather - Fibre,Extra Firm Fill,33.95,,,,,,,
50X80CM,MW235,INSERTS,100% Polyester,Normal,$32.75,,,,,,,
50X80CM,MW236,INSERTS,100% Polyester,Firm Fill,33.35,,,,,,,
50X80CM,MW237,INSERTS,100% Polyester,Extra Firm Fill,33.95,,,,,,,
50X80CM,MW238,INSERTS,30% Down 70% Feather,Normal,$58.60,,,,,,,
50X80CM,MW239,INSERTS,30% Down 70% Feather,Firm Fill,61.2,,,,,,,
50X80CM,MW240,INSERTS,30% Down 70% Feather,Extra Firm Fill,63.8,,,,,,,
50X80CM,MW241,INSERTS,50% Down 50% Feather,Normal,$80.50,,,,,,,
50X80CM,MW242,INSERTS,50% Down 50% Feather,Firm Fill,83.1,,,,,,,
50X80CM,MW243,INSERTS,50% Down 50% Feather,Extra Firm Fill,85.7,,,,,,,
50X80CM,MW244,INSERTS,80% Down 20% Feather,Normal,$95.00,,,,,,,
50X80CM,MW245,INSERTS,80% Down 20% Feather,Firm Fill,97.6,,,,,,,
50X80CM,MW246,INSERTS,80% Down 20% Feather,Extra Firm Fill,100.2,,,,,,,
50X90CM,MW247,INSERTS,100% Feather,Normal,$29.30,,,,,,,
