Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,,
SUPER KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,WALTER89,Duck,,$182.00,,,,,,,,
SUPER KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,WALTER90,Goose,,$309.50,,,,,,,,
SUPER KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,WALTER91,Hungarian,,$314.00,,,,,,,,
SINGLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,WALTER92,Duck,,$105.00,,,,,,,,
SINGLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,WALTER93,Goose,,$160.00,,,,,,,,
DOUBLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,WALTER94,Duck,,$120.00,,,,,,,,
DOUBLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,WALTER95,Goose,,$185.00,,,,,,,,
QUEEN - 80% DUCK DOWN WINTER,80% WINTER FILLED,WALTER96,Duck,,$140.00,,,,,,,,
QUEEN - 80% GOOSE DOWN WINTER,80% WINTER FILLED,WALTER97,Goose,,$215.00,,,,,,,,
KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,WALTER98,Duck,,$160.00,,,,,,,,
KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,WALTER99,Goose,,$245.00,,,,,,,,
SUPER KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,WALTER100,Duck,,$230.00,,,,,,,,
SUPER KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,WALTER101,Goose,,$330.00,,,,,,,,
SINGLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,WALTER102,Duck,,$70.50,,,,,,,,
DOUBLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,WALTER103,Duck,,$80.50,,,,,,,,
QUEEN - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,WALTER104,Duck,,$95.00,,,,,,,,
KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,WALTER105,Duck,,$104.00,,,,,,,,
SUPER KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,WALTER106,Duck,,$139.00,,,,,,,,
SINGLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,WALTER107,GOOSE,,$149.00,,,,,,,,
DOUBLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,WALTER108,GOOSE,,$173.00,,,,,,,,
QUEEN - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,WALTER109,GOOSE,,$197.00,,,,,,,,
KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,WALTER110,GOOSE,,$224.50,,,,,,,,
SUPER KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,WALTER111,GOOSE,,$309.50,,,,,,,,
STANDARD PILLOW - 80 DUCK DOWN CHAMBER PILLOW,CHAMBER PILLOW,WALTER112,Duck,,$40.00,,,,,,,,
KING PILLOW - 80 DUCK DOWN CHAMBER PILLOW,CHAMBER PILLOW,WALTER113,Duck,,$62.00,,,,,,,,
STANDARD PILLOW - 50 DUCK DOWN CHAMBER PILLOW,CHAMBER PILLOW,WALTER114,Duck,,$32.00,,,,,,,,
KING PILLOW - 50 DUCK DOWN CHAMBER PILLOW,CHAMBER PILLOW,WALTER115,Duck,,,,,,,,,,
STANDARD PILLOW - 80% HUNGARIAN PILLOW,STRIP PILLOW,WALTER116,Hungarian,,$105.00,,,,,,,,
KING PILLOW - 80% HUNGARIAN PILLOW,STRIP PILLOW,WALTER117,Hungarian,,$113.00,,,,,,,,
SINGLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,WALTER118,Hungarian,,$175.00,,,,,,,,
DOUBLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,WALTER119,Hungarian,,$215.00,,,,,,,,
QUEEN - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,WALTER120,Hungarian,,$255.00,,,,,,,,
KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,WALTER121,Hungarian,,$300.00,,,,,,,,
SUPER KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,WALTER122,Hungarian,,$380.00,,,,,,,,
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILVER BLANKET,WALTER123,Silver Blanket,,$70.00,,,,,,,,
