Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,
STANDARD 100% FEATHER PILLOW,PIPED PILLOWS,PFH346,100% Feather,Duck,$20.00,,,,,,,
STANDARD 30% DUCK DOWN PILLOW,PIPED PILLOWS,PFH347,30% Down 70% Feather,Duck,$32.00,,,,,,,
STANDARD 50% DUCK DOWN PILLOW,PIPED PILLOWS,PFH348,50% Down 50% Feather,Duck,$40.00,,,,,,,
STANDARD 80% DUCK DOWN PILLOW,PIPED PILLOWS,PFH349,80% Down 20% Feather,Duck,$60.00,,,,,,,
STANDARD 80% GOOSE DOWN PILLOW,PIPED PILLOWS,PFH350,80% Down 20% Feather,Goose,$95.00,,,,,,,
QUEEN 100% FEATHER PILLOW,PIPED PILLOWS,PFH351,100% Feather,Duck,$25.00,,,,,,,
QUEEN 30% DUCK DOWN PILLOW,PIPED PILLOWS,PFH352,30% Down 70% Feather,Duck,$51.00,,,,,,,
QUEEN 50% DUCK DOWN PILLOW,PIPED PILLOWS,PFH353,50% Down 50% Feather,Duck,$65.00,,,,,,,
QUEEN 80% DUCK DOWN PILLOW,PIPED PILLOWS,PFH354,80% Down 20% Feather,Duck,$87.50,,,,,,,
QUEEN 80% GOOSE DOWN PILLOW,PIPED PILLOWS,PFH355,80% Down 20% Feather,Goose,$120.00,,,,,,,
KING 100% FEATHER PILLOW,PIPED PILLOWS,PFH356,100% Feather,Duck,$25.00,,,,,,,
KING 30% DUCK DOWN PILLOW,PIPED PILLOWS,PFH357,30% Down 70% Feather,Duck,$51.00,,,,,,,
KING 50% DUCK DOWN PILLOW,PIPED PILLOWS,PFH358,50% Down 50% Feather,Duck,$65.00,,,,,,,
KING 80% DUCK DOWN PILLOW,PIPED PILLOWS,PFH359,80% Down 20% Feather,Duck,$87.50,,,,,,,
KING 80% GOOSE DOWN PILLOW,PIPED PILLOWS,PFH360,80% Down 20% Feather,Goose,$120.00,,,,,,,
EURO 100% FEATHER PILLOW,PIPED PILLOWS,PFH361,100% Feather,Duck,$25.00,,,,,,,
EURO 30% DUCK DOWN PILLOW,PIPED PILLOWS,PFH362,30% Down 70% Feather,Duck,$51.00,,,,,,,
EURO 50% DUCK DOWN PILLOW,PIPED PILLOWS,PFH363,50% Down 50% Feather,Duck,$65.00,,,,,,,
EURO 80% DUCK DOWN PILLOW,PIPED PILLOWS,PFH364,80% Down 20% Feather,Duck,$87.50,,,,,,,
EURO 80% GOOSE DOWN PILLOW,PIPED PILLOWS,PFH365,80% Down 20% Feather,Goose,$120.00,,,,,,,
SINGLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,PFH366,Duck,,$136.50,,,,,,,
SINGLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,PFH367,Goose,,$180.00,,,,,,,
DOUBLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,PFH368,Duck,,$159.00,,,,,,,
DOUBLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,PFH369,Goose,,$205.00,,,,,,,
QUEEN - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,PFH370,Duck,,$186.00,,,,,,,
QUEEN - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,PFH371,Goose,,$245.00,,,,,,,
KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,PFH372,Duck,,$210.00,,,,,,,
KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,PFH373,Goose,,$265.00,,,,,,,
SUPER KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,PFH374,Duck,,$280.00,,,,,,,
SUPER KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,PFH375,Goose,,$340.00,,,,,,,
SINGLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,PFH376,Duck,,$80.00,,,,,,,
DOUBLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,PFH377,Duck,,$90.00,,,,,,,
QUEEN - 50% DUCK WINTER ,50% DUCK WINTER FILLED,PFH378,Duck,,$105.00,,,,,,,
KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,PFH379,Duck,,$120.00,,,,,,,
