Product Name,Category,SKU,Filling,Weight, Customer Price 
50X30CM - (53X33CM),INSERTS,PFH148,Duck Feather - Foam,Extra Firm Fill,$16.20
50X30CM - (53X33CM),INSERTS,PFH149,Duck Feather - Fibre,Normal,$15.00
50X30CM - (53X33CM),INSERTS,PFH150,Duck Feather - Fibre,Firm Fill,$15.60
50X30CM - (53X33CM),INSERTS,PFH151,Duck Feather - Fibre,Extra Firm Fill,$16.20
50X30CM - (53X33CM),INSERTS,PFH152,100% Polyester,Normal,$15.00
50X30CM - (53X33CM),INSERTS,PFH153,100% Polyester,Firm Fill,$15.60
50X30CM - (53X33CM),INSERTS,PFH154,100% Polyester,Extra Firm Fill,$16.20
50X30CM - (53X33CM),INSERTS,PFH155,30% Down 70% Feather,Normal,$23.00
50X30CM - (53X33CM),INSERTS,PFH156,30% Down 70% Feather,Firm Fill,$25.60
50X30CM - (53X33CM),INSERTS,PFH157,30% Down 70% Feather,Extra Firm Fill,$28.20
50X30CM - (53X33CM),INSERTS,PFH158,50% Down 50% Feather,Normal,$31.00
50X30CM - (53X33CM),INSERTS,PFH159,50% Down 50% Feather,Firm Fill,$33.60
50X30CM - (53X33CM),INSERTS,PFH160,50% Down 50% Feather,Extra Firm Fill,$36.20
50X30CM - (53X33CM),INSERTS,PFH161,80% Down 20% Feather,Normal,$48.00
50X30CM - (53X33CM),INSERTS,PFH162,80% Down 20% Feather,Firm Fill,$50.60
50X30CM - (53X33CM),INSERTS,PFH163,80% Down 20% Feather,Extra Firm Fill,$53.20
50X50CM - (53X53CM),INSERTS,PFH164,100% Feather,Normal,$11.50
50X50CM - (53X53CM),INSERTS,PFH165,100% Feather,Firm Fill,$12.10
50X50CM - (53X53CM),INSERTS,PFH166,100% Feather,Extra Firm Fill,$12.70
50X50CM - (53X53CM),INSERTS,PFH167,Duck Feather - Foam,Normal,$13.50
50X50CM - (53X53CM),INSERTS,PFH168,Duck Feather - Foam,Firm Fill,$14.10
50X50CM - (53X53CM),INSERTS,PFH169,Duck Feather - Foam,Extra Firm Fill,$14.70
50X50CM - (53X53CM),INSERTS,PFH170,Duck Feather - Fibre,Normal,$13.50
50X50CM - (53X53CM),INSERTS,PFH171,Duck Feather - Fibre,Firm Fill,$14.10
50X50CM - (53X53CM),INSERTS,PFH172,Duck Feather - Fibre,Extra Firm Fill,$14.70
50X50CM - (53X53CM),INSERTS,PFH173,100% Polyester,Normal,$13.50
50X50CM - (53X53CM),INSERTS,PFH174,100% Polyester,Firm Fill,$14.10
50X50CM - (53X53CM),INSERTS,PFH175,100% Polyester,Extra Firm Fill,$14.70
50X50CM - (53X53CM),INSERTS,PFH176,30% Down 70% Feather,Normal,$26.50
50X50CM - (53X53CM),INSERTS,PFH177,30% Down 70% Feather,Firm Fill,$29.10
50X50CM - (53X53CM),INSERTS,PFH178,30% Down 70% Feather,Extra Firm Fill,$31.70
50X50CM - (53X53CM),INSERTS,PFH179,50% Down 50% Feather,Normal,$45.00
50X50CM - (53X53CM),INSERTS,PFH180,50% Down 50% Feather,Firm Fill,$47.60
50X50CM - (53X53CM),INSERTS,PFH181,50% Down 50% Feather,Extra Firm Fill,$50.20
50X50CM - (53X53CM),INSERTS,PFH182,80% Down 20% Feather,Normal,$56.00
50X50CM - (53X53CM),INSERTS,PFH183,80% Down 20% Feather,Firm Fill,$58.60
50X50CM - (53X53CM),INSERTS,PFH184,80% Down 20% Feather,Extra Firm Fill,$61.20
50X80CM - (53X83CM),INSERTS,PFH185,100% Feather,Normal,$26.00
50X80CM - (53X83CM),INSERTS,PFH186,100% Feather,Firm Fill,$28.60
50X80CM - (53X83CM),INSERTS,PFH187,100% Feather,Extra Firm Fill,$31.20
50X80CM - (53X83CM),INSERTS,PFH188,Duck Feather - Foam,Normal,$32.75
50X80CM - (53X83CM),INSERTS,PFH189,Duck Feather - Foam,Firm Fill,$26.60
50X80CM - (53X83CM),INSERTS,PFH190,Duck Feather - Foam,Extra Firm Fill,$27.20
50X80CM - (53X83CM),INSERTS,PFH191,Duck Feather - Fibre,Normal,$32.75
50X80CM - (53X83CM),INSERTS,PFH192,Duck Feather - Fibre,Firm Fill,$33.35
50X80CM - (53X83CM),INSERTS,PFH193,Duck Feather - Fibre,Extra Firm Fill,$33.95
50X80CM - (53X83CM),INSERTS,PFH194,100% Polyester,Normal,$32.75
50X80CM - (53X83CM),INSERTS,PFH195,100% Polyester,Firm Fill,$33.35
50X80CM - (53X83CM),INSERTS,PFH196,100% Polyester,Extra Firm Fill,$33.95
50X80CM - (53X83CM),INSERTS,PFH197,30% Down 70% Feather,Normal,$58.60
50X80CM - (53X83CM),INSERTS,PFH198,30% Down 70% Feather,Firm Fill,$61.20
50X80CM - (53X83CM),INSERTS,PFH199,30% Down 70% Feather,Extra Firm Fill,$63.80
50X80CM - (53X83CM),INSERTS,PFH200,50% Down 50% Feather,Normal,$80.50
50X80CM - (53X83CM),INSERTS,PFH201,50% Down 50% Feather,Firm Fill,$83.10
50X80CM - (53X83CM),INSERTS,PFH202,50% Down 50% Feather,Extra Firm Fill,$85.70
50X80CM - (53X83CM),INSERTS,PFH203,80% Down 20% Feather,Normal,$95.00
50X80CM - (53X83CM),INSERTS,PFH204,80% Down 20% Feather,Firm Fill,$97.60
50X80CM - (53X83CM),INSERTS,PFH205,80% Down 20% Feather,Extra Firm Fill,$100.20
50X90CM - (53X93CM),INSERTS,PFH206,100% Feather,Normal,$29.30
50X90CM - (53X93CM),INSERTS,PFH207,100% Feather,Firm Fill,$31.90
50X90CM - (53X93CM),INSERTS,PFH208,100% Feather,Extra Firm Fill,$34.50
50X90CM - (53X93CM),INSERTS,PFH209,Duck Feather - Foam,Normal,$38.50
50X90CM - (53X93CM),INSERTS,PFH210,Duck Feather - Foam,Firm Fill,$41.10
50X90CM - (53X93CM),INSERTS,PFH211,Duck Feather - Foam,Extra Firm Fill,$43.70
50X90CM - (53X93CM),INSERTS,PFH212,Duck Feather - Fibre,Normal,$38.50
50X90CM - (53X93CM),INSERTS,PFH213,Duck Feather - Fibre,Firm Fill,$29.90
50X90CM - (53X93CM),INSERTS,PFH214,Duck Feather - Fibre,Extra Firm Fill,$30.50
50X90CM - (53X93CM),INSERTS,PFH215,100% Polyester,Normal,$38.50
50X90CM - (53X93CM),INSERTS,PFH216,100% Polyester,Firm Fill,$29.90
50X90CM - (53X93CM),INSERTS,PFH217,100% Polyester,Extra Firm Fill,$30.50
50X90CM - (53X93CM),INSERTS,PFH218,30% Down 70% Feather,Normal,$71.00
50X90CM - (53X93CM),INSERTS,PFH219,30% Down 70% Feather,Firm Fill,$73.60
50X90CM - (53X93CM),INSERTS,PFH220,30% Down 70% Feather,Extra Firm Fill,$76.20
50X90CM - (53X93CM),INSERTS,PFH221,50% Down 50% Feather,Normal,$92.55
50X90CM - (53X93CM),INSERTS,PFH222,50% Down 50% Feather,Firm Fill,$95.15
50X90CM - (53X93CM),INSERTS,PFH223,50% Down 50% Feather,Extra Firm Fill,$97.75
50X90CM - (53X93CM),INSERTS,PFH224,80% Down 20% Feather,Normal,$107.00
50X90CM - (53X93CM),INSERTS,PFH225,80% Down 20% Feather,Firm Fill,$109.60
50X90CM - (53X93CM),INSERTS,PFH226,80% Down 20% Feather,Extra Firm Fill,$112.20
55X55CM - (58X58CM),INSERTS,PFH227,100% Feather,Normal,$12.00
55X55CM - (58X58CM),INSERTS,PFH228,100% Feather,Firm Fill,$12.60
55X55CM - (58X58CM),INSERTS,PFH229,100% Feather,Extra Firm Fill,$13.20
55X55CM - (58X58CM),INSERTS,PFH230,Duck Feather - Foam,Normal,$15.00
55X55CM - (58X58CM),INSERTS,PFH231,Duck Feather - Foam,Firm Fill,$15.60
55X55CM - (58X58CM),INSERTS,PFH232,Duck Feather - Foam,Extra Firm Fill,$16.20
55X55CM - (58X58CM),INSERTS,PFH233,Duck Feather - Fibre,Normal,$15.00
55X55CM - (58X58CM),INSERTS,PFH234,Duck Feather - Fibre,Firm Fill,$15.60
55X55CM - (58X58CM),INSERTS,PFH235,Duck Feather - Fibre,Extra Firm Fill,$16.20
55X55CM - (58X58CM),INSERTS,PFH236,100% Polyester,Normal,$15.00
55X55CM - (58X58CM),INSERTS,PFH237,100% Polyester,Firm Fill,$15.60
55X55CM - (58X58CM),INSERTS,PFH238,100% Polyester,Extra Firm Fill,$16.20
55X55CM - (58X58CM),INSERTS,PFH239,30% Down 70% Feather,Normal,$30.25
55X55CM - (58X58CM),INSERTS,PFH240,30% Down 70% Feather,Firm Fill,$32.85
55X55CM - (58X58CM),INSERTS,PFH241,30% Down 70% Feather,Extra Firm Fill,$35.45
55X55CM - (58X58CM),INSERTS,PFH242,50% Down 50% Feather,Normal,$45.10
55X55CM - (58X58CM),INSERTS,PFH243,50% Down 50% Feather,Firm Fill,$47.70
55X55CM - (58X58CM),INSERTS,PFH244,50% Down 50% Feather,Extra Firm Fill,$50.30
55X55CM - (58X58CM),INSERTS,PFH245,80% Down 20% Feather,Normal,$65.00
55X55CM - (58X58CM),INSERTS,PFH246,80% Down 20% Feather,Firm Fill,$67.60
55X55CM - (58X58CM),INSERTS,PFH247,80% Down 20% Feather,Extra Firm Fill,$70.20
60X40CM - (63X43CM),INSERTS,PFH248,100% Feather,Normal,$15.50
60X40CM - (63X43CM),INSERTS,PFH249,100% Feather,Firm Fill,$16.10
60X40CM - (63X43CM),INSERTS,PFH250,100% Feather,Extra Firm Fill,$16.70
60X40CM - (63X43CM),INSERTS,PFH251,Duck Feather - Foam,Normal,$17.50
60X40CM - (63X43CM),INSERTS,PFH252,Duck Feather - Foam,Firm Fill,$18.10
60X40CM - (63X43CM),INSERTS,PFH253,Duck Feather - Foam,Extra Firm Fill,$18.70
60X40CM - (63X43CM),INSERTS,PFH254,Duck Feather - Fibre,Normal,$17.50
60X40CM - (63X43CM),INSERTS,PFH255,Duck Feather - Fibre,Firm Fill,$18.10
60X40CM - (63X43CM),INSERTS,PFH256,Duck Feather - Fibre,Extra Firm Fill,$18.70
60X40CM - (63X43CM),INSERTS,PFH257,100% Polyester,Normal,$17.50
60X40CM - (63X43CM),INSERTS,PFH258,100% Polyester,Firm Fill,$18.10
60X40CM - (63X43CM),INSERTS,PFH259,100% Polyester,Extra Firm Fill,$18.70
60X40CM - (63X43CM),INSERTS,PFH260,30% Down 70% Feather,Normal,$30.50
60X40CM - (63X43CM),INSERTS,PFH261,30% Down 70% Feather,Firm Fill,$33.10
60X40CM - (63X43CM),INSERTS,PFH262,30% Down 70% Feather,Extra Firm Fill,$35.70
