Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,
KING - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,SC107,Duck,,$120.50,,,,,,,,,
SUPER KING - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,SC108,Duck,,$160.00,,,,,,,,,
SINGLE - 80% GOOSE SUMMER FILLED,80% GOOSE SUMMER FILLED,SC109,Goose,,$114.50,,,,,,,,,
DOUBLE - 80% GOOSE SUMMER FILLED,80% GOOSE SUMMER FILLED,SC110,Goose,,$140.00,,,,,,,,,
QUEEN - 80% GOOSE SUMMER FILLED,80% GOOSE SUMMER FILLED,SC111,Goose,,$164.00,,,,,,,,,
KING - 80% GOOSE SUMMER FILLED,80% GOOSE SUMMER FILLED,SC112,Goose,,$177.00,,,,,,,,,
SUPER KING - 80% GOOSE SUMMER FILLED,80% GOOSE SUMMER FILLED,SC113,Goose,,$274.00,,,,,,,,,
45X70CM - (48X73CM) 80 - CHAMBER PILLOW,CHAMBER PILLOW,SC114,Duck,,46,,,,,,,,,
50X90CM - (53X93CM) 80 - CHAMBER PILLOW,CHAMBER PILLOW,SC115,Duck,,,,,,,,,,,
45X70CM - (48X73CM) 50 - CHAMBER PILLOW,CHAMBER PILLOW,SC116,Duck,,37,,,,,,,,,
50X90CM - (53X93CM) 50 - CHAMBER PILLOW,CHAMBER PILLOW,SC117,Duck,,,,,,,,,,,
45X70CM - (48X73CM) - STRIP PILLOW,STRIP PILLOW,SC118,Hungarian,,123.5,,,,,,,,,
50X90CM - (53X93CM) - STRIP PILLOW,STRIP PILLOW,SC119,Hungarian,,,,,,,,,,,
SINGLE - STRIPPED QUILT,STRIPPED QUILT,SC120,Hungarian,,$201.50,,,,,,,,,
DOUBLE - STRIPPED QUILT,STRIPPED QUILT,SC121,Hungarian,,$251.00,,,,,,,,,
QUEEN - STRIPPED QUILT,STRIPPED QUILT,SC122,Hungarian,,$294.00,,,,,,,,,
KING - STRIPPED QUILT,STRIPPED QUILT,SC123,Hungarian,,$345.00,,,,,,,,,
SUPER KING - STRIPPED QUILT,STRIPPED QUILT,SC124,Hungarian,,$437.00,,,,,,,,,
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILVER BLANKET,SC125,Silver Blanket,,$70.00,,,,,,,,,
