Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,,
SUPER KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,BR105,Duck,,$155.50,,,,,,,,,,
SINGLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,BR106,Duck,,109,,,,,,,,,,
SINGLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,BR107,Goose,,171.5,,,,,,,,,,
SINGLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,BR108,Hungarian,,183,,,,,,,,,,
DOUBLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,BR109,Duck,,126.5,,,,,,,,,,
DOUBLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,BR110,Goose,,199,,,,,,,,,,
DOUBLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,BR111,Hungarian,,210.5,,,,,,,,,,
QUEEN - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,BR112,Duck,,$147.00,,,,,,,,,,
QUEEN - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,BR113,Goose,,226,,,,,,,,,,
QUEEN - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,BR114,Hungarian,,249,,,,,,,,,,
KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,BR115,Duck,,161.5,,,,,,,,,,
KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,BR116,Goose,,258.5,,,,,,,,,,
KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,BR117,Hungarian,,267,,,,,,,,,,
SUPER KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,BR118,Duck,,209.5,,,,,,,,,,
SUPER KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,BR119,Goose,,356,,,,,,,,,,
SUPER KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,BR120,Hungarian,,160,,,,,,,,,,
SINGLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,BR121,Duck,,$121.00,,,,,,,,,,
SINGLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,BR122,Goose,,$184.00,,,,,,,,,,
DOUBLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,BR123,Duck,,$140.00,,,,,,,,,,
DOUBLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,BR124,Goose,,$213.00,,,,,,,,,,
QUEEN - 80% DUCK DOWN WINTER,80% WINTER FILLED,BR125,Duck,,$167.00,,,,,,,,,,
QUEEN - 80% GOOSE DOWN WINTER,80% WINTER FILLED,BR126,Goose,,$247.50,,,,,,,,,,
KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,BR127,Duck,,$189.00,,,,,,,,,,
KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,BR128,Goose,,$282.00,,,,,,,,,,
SUPER KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,BR129,Duck,,$265.50,,,,,,,,,,
SUPER KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,BR130,Goose,,$379.50,,,,,,,,,,
SINGLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,BR131,Duck,,$82.50,,,,,,,,,,
DOUBLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,BR132,Duck,,$93.50,,,,,,,,,,
QUEEN - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,BR133,Duck,,$109.50,,,,,,,,,,
KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,BR134,Duck,,$120.50,,,,,,,,,,
SUPER KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,BR135,Duck,,$160.00,,,,,,,,,,
