Product Name,Category,SKU,Filling,Weight,Customer Price,,,
45X45CM,INSERTS,JB80,50% Down 50% Feather,Normal,$32.80,,,
45X45CM,INSERTS,JB81,50% Down 50% Feather,Firm Fill,35.4,,,
45X45CM,INSERTS,JB82,50% Down 50% Feather,Extra Firm Fill,38,,,
45X45CM,INSERTS,JB83,80% Down 20% Feather,Normal,$48.50,,,
45X45CM,INSERTS,JB84,80% Down 20% Feather,Firm Fill,51.1,,,
45X45CM,INSERTS,JB85,80% Down 20% Feather,Extra Firm Fill,53.7,,,
40X80CM,INSERTS,JB86,100% Feather,Normal,$19.00,,,
40X80CM,INSERTS,JB87,100% Feather,Extra Firm Fill,19.6,,,
40X80CM,INSERTS,JB88,Duck Feather - Foam,Normal,$21.25,,,
40X80CM,INSERTS,JB89,Duck Feather - Foam,Firm Fill,21.85,,,
40X80CM,INSERTS,JB90,Duck Feather - Foam,Extra Firm Fill,22.45,,,
40X80CM,INSERTS,JB91,Duck Feather - Fibre,Normal,$21.25,,,
40X80CM,INSERTS,JB92,Duck Feather - Fibre,Firm Fill,21.85,,,
40X80CM,INSERTS,JB93,Duck Feather - Fibre,Extra Firm Fill,22.45,,,
40X80CM,INSERTS,JB94,100% Polyester,Normal,$21.25,,,
40X80CM,INSERTS,JB95,100% Polyester,Firm Fill,21.85,,,
40X80CM,INSERTS,JB96,100% Polyester,Extra Firm Fill,22.45,,,
40X80CM,INSERTS,JB97,30% Down 70% Feather,Normal,$43.00,,,
40X80CM,INSERTS,JB98,30% Down 70% Feather,Firm Fill,45.6,,,
40X80CM,INSERTS,JB99,30% Down 70% Feather,Extra Firm Fill,48.2,,,
40X80CM,INSERTS,JB100,50% Down 50% Feather,Normal,$68.40,,,
40X80CM,INSERTS,JB101,50% Down 50% Feather,Firm Fill,71,,,
40X80CM,INSERTS,JB102,50% Down 50% Feather,Extra Firm Fill,73.6,,,
40X80CM,INSERTS,JB103,80% Down 20% Feather,Normal,$83.00,,,
40X80CM,INSERTS,JB104,80% Down 20% Feather,Firm Fill,85.6,,,
40X80CM,INSERTS,JB105,80% Down 20% Feather,Extra Firm Fill,88.2,,,
45X70CM,INSERTS,JB106,100% Feather,Normal,$17.65,,,
45X70CM,INSERTS,JB107,100% Feather,Extra Firm Fill,18.25,,,
45X70CM,INSERTS,JB108,Duck Feather - Foam,Normal,$20.00,,,
45X70CM,INSERTS,JB109,Duck Feather - Foam,Firm Fill,20.6,,,
45X70CM,INSERTS,JB110,Duck Feather - Foam,Extra Firm Fill,21.2,,,
45X70CM,INSERTS,JB111,Duck Feather - Fibre,Normal,$20.00,,,
45X70CM,INSERTS,JB112,Duck Feather - Fibre,Firm Fill,20.6,,,
45X70CM,INSERTS,JB113,Duck Feather - Fibre,Extra Firm Fill,21.2,,,
45X70CM,INSERTS,JB114,100% Polyester,Normal,$20.00,,,
45X70CM,INSERTS,JB115,100% Polyester,Firm Fill,20.6,,,
45X70CM,INSERTS,JB116,100% Polyester,Extra Firm Fill,21.2,,,
45X70CM,INSERTS,JB117,30% Down 70% Feather,Normal,$36.70,,,
45X70CM,INSERTS,JB118,30% Down 70% Feather,Firm Fill,39.3,,,
