Product Name	Category	SKU	Filling	Weight	Customer Price
50X30CM	INSERTS	MW194	100% Polyester	Firm Fill	15.6
50X30CM	INSERTS	MW195	100% Polyester	Extra Firm Fill	16.2
50X30CM	INSERTS	MW196	30% Down 70% Feather	Normal	$23.00
50X30CM	INSERTS	MW197	30% Down 70% Feather	Firm Fill	25.6
50X30CM	INSERTS	MW198	30% Down 70% Feather	Extra Firm Fill	28.2
50X30CM	INSERTS	MW199	50% Down 50% Feather	Normal	$31.00
50X30CM	INSERTS	MW200	50% Down 50% Feather	Firm Fill	33.6
50X30CM	INSERTS	MW201	50% Down 50% Feather	Extra Firm Fill	36.2
50X30CM	INSERTS	MW202	80% Down 20% Feather	Normal	$48.00
50X30CM	INSERTS	MW203	80% Down 20% Feather	Firm Fill	50.6
50X30CM	INSERTS	MW204	80% Down 20% Feather	Extra Firm Fill	53.2
50X50CM	INSERTS	MW205	100% Feather	Normal	$11.50
50X50CM	INSERTS	MW206	100% Feather	Firm Fill	12.1
50X50CM	INSERTS	MW207	100% Feather	Extra Firm Fill	12.7
50X50CM	INSERTS	MW208	Duck Feather - Foam	Normal	$13.50
50X50CM	INSERTS	MW209	Duck Feather - Foam	Firm Fill	14.1
50X50CM	INSERTS	MW210	Duck Feather - Foam	Extra Firm Fill	14.7
50X50CM	INSERTS	MW211	Duck Feather - Fibre	Normal	$13.50
50X50CM	INSERTS	MW212	Duck Feather - Fibre	Firm Fill	14.1
50X50CM	INSERTS	MW213	Duck Feather - Fibre	Extra Firm Fill	14.7
50X50CM	INSERTS	MW214	100% Polyester	Normal	$13.50
50X50CM	INSERTS	MW215	100% Polyester	Firm Fill	14.1
50X50CM	INSERTS	MW216	100% Polyester	Extra Firm Fill	14.7
50X50CM	INSERTS	MW217	30% Down 70% Feather	Normal	$26.50
50X50CM	INSERTS	MW218	30% Down 70% Feather	Firm Fill	29.1
50X50CM	INSERTS	MW219	30% Down 70% Feather	Extra Firm Fill	31.7
50X50CM	INSERTS	MW220	50% Down 50% Feather	Normal	$45.00
50X50CM	INSERTS	MW221	50% Down 50% Feather	Firm Fill	47.6
50X50CM	INSERTS	MW222	50% Down 50% Feather	Extra Firm Fill	50.2
50X50CM	INSERTS	MW223	80% Down 20% Feather	Normal	$56.00
50X50CM	INSERTS	MW224	80% Down 20% Feather	Firm Fill	58.6
50X50CM	INSERTS	MW225	80% Down 20% Feather	Extra Firm Fill	61.2
50X80CM	INSERTS	MW226	100% Feather	Normal	$26.00
50X80CM	INSERTS	MW227	100% Feather	Firm Fill	28.6
50X80CM	INSERTS	MW228	100% Feather	Extra Firm Fill	31.2
50X80CM	INSERTS	MW229	Duck Feather - Foam	Normal	$32.75
50X80CM	INSERTS	MW230	Duck Feather - Foam	Firm Fill	26.6
50X80CM	INSERTS	MW231	Duck Feather - Foam	Extra Firm Fill	27.2
50X80CM	INSERTS	MW232	Duck Feather - Fibre	Normal	$32.75
50X80CM	INSERTS	MW233	Duck Feather - Fibre	Firm Fill	33.35
50X80CM	INSERTS	MW234	Duck Feather - Fibre	Extra Firm Fill	33.95
50X80CM	INSERTS	MW235	100% Polyester	Normal	$32.75
50X80CM	INSERTS	MW236	100% Polyester	Firm Fill	33.35
50X80CM	INSERTS	MW237	100% Polyester	Extra Firm Fill	33.95
50X80CM	INSERTS	MW238	30% Down 70% Feather	Normal	$58.60
50X80CM	INSERTS	MW239	30% Down 70% Feather	Firm Fill	61.2
50X80CM	INSERTS	MW240	30% Down 70% Feather	Extra Firm Fill	63.8
50X80CM	INSERTS	MW241	50% Down 50% Feather	Normal	$80.50
50X80CM	INSERTS	MW242	50% Down 50% Feather	Firm Fill	83.1
50X80CM	INSERTS	MW243	50% Down 50% Feather	Extra Firm Fill	85.7
50X80CM	INSERTS	MW244	80% Down 20% Feather	Normal	$95.00
50X80CM	INSERTS	MW245	80% Down 20% Feather	Firm Fill	97.6
50X80CM	INSERTS	MW246	80% Down 20% Feather	Extra Firm Fill	100.2
50X90CM	INSERTS	MW247	100% Feather	Normal	$29.30
50X90CM	INSERTS	MW248	100% Feather	Firm Fill	31.9
50X90CM	INSERTS	MW249	100% Feather	Extra Firm Fill	34.5
50X90CM	INSERTS	MW250	Duck Feather - Foam	Normal	$38.50
50X90CM	INSERTS	MW251	Duck Feather - Foam	Firm Fill	41.1
50X90CM	INSERTS	MW252	Duck Feather - Foam	Extra Firm Fill	43.7
50X90CM	INSERTS	MW253	Duck Feather - Fibre	Normal	$38.50
50X90CM	INSERTS	MW254	Duck Feather - Fibre	Firm Fill	29.9
50X90CM	INSERTS	MW255	Duck Feather - Fibre	Extra Firm Fill	30.5
50X90CM	INSERTS	MW256	100% Polyester	Normal	$38.50
50X90CM	INSERTS	MW257	100% Polyester	Firm Fill	29.9
50X90CM	INSERTS	MW258	100% Polyester	Extra Firm Fill	30.5
50X90CM	INSERTS	MW259	30% Down 70% Feather	Normal	$71.00
50X90CM	INSERTS	MW260	30% Down 70% Feather	Firm Fill	73.6
50X90CM	INSERTS	MW261	30% Down 70% Feather	Extra Firm Fill	76.2
50X90CM	INSERTS	MW262	50% Down 50% Feather	Normal	$92.55
