Product Name,SKU,Category,Filling,Weight, Customer Price 
50X110CM,INSE-006,INSERTS,100% Feather,Extra Firm Fill,$47.20 
50X110CM,INSE-006,INSERTS,Duck Feather - Foam,Normal,$46.00 
50X110CM,INSE-006,INSERTS,Duck Feather - Foam,Firm Fill,$46.60 
50X110CM,INSE-006,INSERTS,Duck Feather - Foam,Extra Firm Fill,$47.20 
50X110CM,INSE-006,INSERTS,Duck Feather - Fibre,Normal,$46.00 
50X110CM,INSE-006,INSERTS,Duck Feather - Fibre,Firm Fill,$46.60 
50X110CM,INSE-006,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$47.20 
50X110CM,INSE-006,INSERTS,100% Polyester,Normal,$46.00 
50X110CM,INSE-006,INSERTS,100% Polyester,Firm Fill,$46.60 
50X110CM,INSE-006,INSERTS,100% Polyester,Extra Firm Fill,$47.20 
50X110CM,INSE-006,INSERTS,30% Down 70% Feather,Normal,$91.00 
50X110CM,INSE-006,INSERTS,30% Down 70% Feather,Firm Fill,$93.60 
50X110CM,INSE-006,INSERTS,30% Down 70% Feather,Extra Firm Fill,$96.20 
50X110CM,INSE-006,INSERTS,50% Down 50% Feather,Normal,$109.25 
50X110CM,INSE-006,INSERTS,50% Down 50% Feather,Firm Fill,$111.85 
50X110CM,INSE-006,INSERTS,50% Down 50% Feather,Extra Firm Fill,$114.45 
50X110CM,INSE-006,INSERTS,80% Down 20% Feather,Normal,$132.25 
50X110CM,INSE-006,INSERTS,80% Down 20% Feather,Firm Fill,$134.85 
50X110CM,INSE-006,INSERTS,80% Down 20% Feather,Extra Firm Fill,$137.45 
50X30CM ,INSE-007,INSERTS,100% Feather,Normal,$13.20 
50X30CM ,INSE-007,INSERTS,100% Feather,Firm Fill,$13.80 
50X30CM ,INSE-007,INSERTS,100% Feather,Extra Firm Fill,$14.40 
50X30CM ,INSE-007,INSERTS,Duck Feather - Foam,Normal,$15.00 
50X30CM ,INSE-007,INSERTS,Duck Feather - Foam,Firm Fill,$15.60 
50X30CM ,INSE-007,INSERTS,Duck Feather - Foam,Extra Firm Fill,$16.20 
50X30CM ,INSE-007,INSERTS,Duck Feather - Fibre,Normal,$15.00 
50X30CM ,INSE-007,INSERTS,Duck Feather - Fibre,Firm Fill,$15.60 
50X30CM ,INSE-007,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$16.20 
50X30CM ,INSE-007,INSERTS,100% Polyester,Normal,$15.00 
50X30CM ,INSE-007,INSERTS,100% Polyester,Firm Fill,$15.60 
50X30CM ,INSE-007,INSERTS,100% Polyester,Extra Firm Fill,$16.20 
50X30CM ,INSE-007,INSERTS,30% Down 70% Feather,Normal,$23.00 
50X30CM ,INSE-007,INSERTS,30% Down 70% Feather,Firm Fill,$25.60 
50X30CM ,INSE-007,INSERTS,30% Down 70% Feather,Extra Firm Fill,$28.20 
50X30CM ,INSE-007,INSERTS,50% Down 50% Feather,Normal,$31.00 
50X30CM ,INSE-007,INSERTS,50% Down 50% Feather,Firm Fill,$33.60 
50X30CM ,INSE-007,INSERTS,50% Down 50% Feather,Extra Firm Fill,$36.20 
50X30CM ,INSE-007,INSERTS,80% Down 20% Feather,Normal,$48.00 
50X30CM ,INSE-007,INSERTS,80% Down 20% Feather,Firm Fill,$50.60 
50X30CM ,INSE-007,INSERTS,80% Down 20% Feather,Extra Firm Fill,$53.20 
50X50CM,INSE-008,INSERTS,100% Feather,Normal,$11.50 
50X50CM,INSE-008,INSERTS,100% Feather,Firm Fill,$12.10 
50X50CM,INSE-008,INSERTS,100% Feather,Extra Firm Fill,$12.70 
50X50CM,INSE-008,INSERTS,Duck Feather - Foam,Normal,$13.50 
50X50CM,INSE-008,INSERTS,Duck Feather - Foam,Firm Fill,$14.10 
50X50CM,INSE-008,INSERTS,Duck Feather - Foam,Extra Firm Fill,$14.70 
50X50CM,INSE-008,INSERTS,Duck Feather - Fibre,Normal,$13.50 
50X50CM,INSE-008,INSERTS,Duck Feather - Fibre,Firm Fill,$14.10 
50X50CM,INSE-008,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$14.70 
50X50CM,INSE-008,INSERTS,100% Polyester,Normal,$13.50 
50X50CM,INSE-008,INSERTS,100% Polyester,Firm Fill,$14.10 
50X50CM,INSE-008,INSERTS,100% Polyester,Extra Firm Fill,$14.70 
50X50CM,INSE-008,INSERTS,30% Down 70% Feather,Normal,$26.50 
50X50CM,INSE-008,INSERTS,30% Down 70% Feather,Firm Fill,$29.10 
50X50CM,INSE-008,INSERTS,30% Down 70% Feather,Extra Firm Fill,$31.70 
50X50CM,INSE-008,INSERTS,50% Down 50% Feather,Normal,$45.00 
50X50CM,INSE-008,INSERTS,50% Down 50% Feather,Firm Fill,$47.60 
50X50CM,INSE-008,INSERTS,50% Down 50% Feather,Extra Firm Fill,$50.20 
50X50CM,INSE-008,INSERTS,80% Down 20% Feather,Normal,$56.00 
50X50CM,INSE-008,INSERTS,80% Down 20% Feather,Firm Fill,$58.60 
50X50CM,INSE-008,INSERTS,80% Down 20% Feather,Extra Firm Fill,$61.20 
50X80CM,INSE-009,INSERTS,100% Feather,Normal,$26.00 
50X80CM,INSE-009,INSERTS,100% Feather,Firm Fill,$28.60 
50X80CM,INSE-009,INSERTS,100% Feather,Extra Firm Fill,$31.20 
50X80CM,INSE-009,INSERTS,Duck Feather - Foam,Normal,$32.75 
50X80CM,INSE-009,INSERTS,Duck Feather - Foam,Firm Fill,$26.60 
50X80CM,INSE-009,INSERTS,Duck Feather - Foam,Extra Firm Fill,$27.20 
50X80CM,INSE-009,INSERTS,Duck Feather - Fibre,Normal,$32.75 
50X80CM,INSE-009,INSERTS,Duck Feather - Fibre,Firm Fill,$33.35 
50X80CM,INSE-009,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$33.95 
50X80CM,INSE-009,INSERTS,100% Polyester,Normal,$32.75 
50X80CM,INSE-009,INSERTS,100% Polyester,Firm Fill,$33.35 
50X80CM,INSE-009,INSERTS,100% Polyester,Extra Firm Fill,$33.95 
50X80CM,INSE-009,INSERTS,30% Down 70% Feather,Normal,$58.60 
50X80CM,INSE-009,INSERTS,30% Down 70% Feather,Firm Fill,$61.20 
50X80CM,INSE-009,INSERTS,30% Down 70% Feather,Extra Firm Fill,$63.80 
50X80CM,INSE-009,INSERTS,50% Down 50% Feather,Normal,$80.50 
50X80CM,INSE-009,INSERTS,50% Down 50% Feather,Firm Fill,$83.10 
50X80CM,INSE-009,INSERTS,50% Down 50% Feather,Extra Firm Fill,$85.70 
50X80CM,INSE-009,INSERTS,80% Down 20% Feather,Normal,$95.00 
50X80CM,INSE-009,INSERTS,80% Down 20% Feather,Firm Fill,$97.60 
50X80CM,INSE-009,INSERTS,80% Down 20% Feather,Extra Firm Fill,$100.20 
50X90CM ,INSE-010,INSERTS,100% Feather,Normal,$29.30 
50X90CM ,INSE-010,INSERTS,100% Feather,Firm Fill,$31.90 
50X90CM ,INSE-010,INSERTS,100% Feather,Extra Firm Fill,$34.50 
50X90CM ,INSE-010,INSERTS,Duck Feather - Foam,Normal,$38.50 
50X90CM ,INSE-010,INSERTS,Duck Feather - Foam,Firm Fill,$41.10 
