Product Name,Category,Sku,Filling,Weight, Customer Price ,,
45X70CM,INSERTS,INTERIOR - 108,Duck Feather - Foam,Firm Fill,$20.60,,
45X70CM,INSERTS,INTERIOR - 109,Duck Feather - Foam,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,INTERIOR - 110,Duck Feather - Fibre,Normal,$20.00,,
45X70CM,INSERTS,INTERIOR - 111,Duck Feather - Fibre,Firm Fill,$20.60,,
45X70CM,INSERTS,INTERIOR - 112,Duck Feather - Fibre,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,INTERIOR - 113,100% Polyester,Normal,$20.00,,
45X70CM,INSERTS,INTERIOR - 114,100% Polyester,Firm Fill,$20.60,,
45X70CM,INSERTS,INTERIOR - 115,100% Polyester,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,INTERIOR - 116,30% Down 70% Feather,Normal,$36.70,,
45X70CM,INSERTS,INTERIOR - 117,30% Down 70% Feather,Firm Fill,$39.30,,
45X70CM,INSERTS,INTERIOR - 118,30% Down 70% Feather,Extra Firm Fill,$41.90,,
45X70CM,INSERTS,INTERIOR - 119,50% Down 50% Feather,Normal,$52.15,,
45X70CM,INSERTS,INTERIOR - 120,50% Down 50% Feather,Firm Fill,$54.75,,
45X70CM,INSERTS,INTERIOR - 121,50% Down 50% Feather,Extra Firm Fill,$57.35,,
45X70CM,INSERTS,INTERIOR - 122,80% Down 20% Feather,Normal,$73.00,,
45X70CM,INSERTS,INTERIOR - 123,80% Down 20% Feather,Firm Fill,$75.60,,
45X70CM,INSERTS,INTERIOR - 124,80% Down 20% Feather,Extra Firm Fill,$78.20,,
50X110CM,INSERTS,INTERIOR - 125,100% Feather,Normal,$46.00,,
50X110CM,INSERTS,INTERIOR - 126,100% Feather,Firm Fill,$46.60,,
50X110CM,INSERTS,INTERIOR - 127,100% Feather,Extra Firm Fill,$47.20,,
50X110CM,INSERTS,INTERIOR - 128,Duck Feather - Foam,Normal,$46.00,,
50X110CM,INSERTS,INTERIOR - 129,Duck Feather - Foam,Firm Fill,$46.60,,
50X110CM,INSERTS,INTERIOR - 130,Duck Feather - Foam,Extra Firm Fill,$47.20,,
50X110CM,INSERTS,INTERIOR - 131,Duck Feather - Fibre,Normal,$46.00,,
50X110CM,INSERTS,INTERIOR - 132,Duck Feather - Fibre,Firm Fill,$46.60,,
50X110CM,INSERTS,INTERIOR - 133,Duck Feather - Fibre,Extra Firm Fill,$47.20,,
50X110CM,INSERTS,INTERIOR - 134,100% Polyester,Normal,$46.00,,
50X110CM,INSERTS,INTERIOR - 135,100% Polyester,Firm Fill,$46.60,,
50X110CM,INSERTS,INTERIOR - 136,100% Polyester,Extra Firm Fill,$47.20,,
50X110CM,INSERTS,INTERIOR - 137,30% Down 70% Feather,Normal,$91.00,,
50X110CM,INSERTS,INTERIOR - 138,30% Down 70% Feather,Firm Fill,$93.60,,
50X110CM,INSERTS,INTERIOR - 139,30% Down 70% Feather,Extra Firm Fill,$96.20,,
50X110CM,INSERTS,INTERIOR - 140,50% Down 50% Feather,Normal,$109.25,,
50X110CM,INSERTS,INTERIOR - 141,50% Down 50% Feather,Firm Fill,$111.85,,
50X110CM,INSERTS,INTERIOR - 142,50% Down 50% Feather,Extra Firm Fill,$114.45,,
50X110CM,INSERTS,INTERIOR - 143,80% Down 20% Feather,Normal,$132.25,,
50X110CM,INSERTS,INTERIOR - 144,80% Down 20% Feather,Firm Fill,$134.85,,
50X110CM,INSERTS,INTERIOR - 145,80% Down 20% Feather,Extra Firm Fill,$137.45,,
50X30CM,INSERTS,INTERIOR - 146,100% Feather,Normal,$13.20,,
50X30CM,INSERTS,INTERIOR - 147,100% Feather,Firm Fill,$13.80,,
50X30CM,INSERTS,INTERIOR - 148,100% Feather,Extra Firm Fill,$14.40,,
50X30CM,INSERTS,INTERIOR - 149,Duck Feather - Foam,Normal,$15.00,,
50X30CM,INSERTS,INTERIOR - 150,Duck Feather - Foam,Firm Fill,$15.60,,
50X30CM,INSERTS,INTERIOR - 151,Duck Feather - Foam,Extra Firm Fill,$16.20,,
50X30CM,INSERTS,INTERIOR - 152,Duck Feather - Fibre,Normal,$15.00,,
50X30CM,INSERTS,INTERIOR - 153,Duck Feather - Fibre,Firm Fill,$15.60,,
50X30CM,INSERTS,INTERIOR - 154,Duck Feather - Fibre,Extra Firm Fill,$16.20,,
50X30CM,INSERTS,INTERIOR - 155,100% Polyester,Normal,$15.00,,
50X30CM,INSERTS,INTERIOR - 156,100% Polyester,Firm Fill,$15.60,,
50X30CM,INSERTS,INTERIOR - 157,100% Polyester,Extra Firm Fill,$16.20,,
