Product Name,SKU,Category,Filling,Weight, Customer Price ,,,,,,,,
50X50CM - (53X53CM),INSTERS-162,INSERTS,50% Down 50% Feather,Extra Firm Fill,$50.20,,,,,,,,
50X50CM - (53X53CM),INSTERS-163,INSERTS,80% Down 20% Feather,Normal,$56.00,,,,,,,,
50X50CM - (53X53CM),INSTERS-164,INSERTS,80% Down 20% Feather,Firm Fill,$58.60,,,,,,,,
50X50CM - (53X53CM),INSTERS-165,INSERTS,80% Down 20% Feather,Extra Firm Fill,$61.20,,,,,,,,
50X80CM - (53X83CM),INSTERS-166,INSERTS,100% Feather,Normal,$26.00,,,,,,,,
50X80CM - (53X83CM),INSTERS-167,INSERTS,100% Feather,Firm Fill,$28.60,,,,,,,,
50X80CM - (53X83CM),INSTERS-168,INSERTS,100% Feather,Extra Firm Fill,$31.20,,,,,,,,
50X80CM - (53X83CM),INSTERS-169,INSERTS,Duck Feather - Foam,Normal,$32.75,,,,,,,,
50X80CM - (53X83CM),INSTERS-170,INSERTS,Duck Feather - Foam,Firm Fill,$26.60,,,,,,,,
50X80CM - (53X83CM),INSTERS-171,INSERTS,Duck Feather - Foam,Extra Firm Fill,$27.20,,,,,,,,
50X80CM - (53X83CM),INSTERS-172,INSERTS,Duck Feather - Fibre,Normal,$32.75,,,,,,,,
50X80CM - (53X83CM),INSTERS-173,INSERTS,Duck Feather - Fibre,Firm Fill,$33.35,,,,,,,,
50X80CM - (53X83CM),INSTERS-174,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$33.95,,,,,,,,
50X80CM - (53X83CM),INSTERS-175,INSERTS,100% Polyester,Normal,$32.75,,,,,,,,
50X80CM - (53X83CM),INSTERS-176,INSERTS,100% Polyester,Firm Fill,$33.35,,,,,,,,
50X80CM - (53X83CM),INSTERS-177,INSERTS,100% Polyester,Extra Firm Fill,$33.95,,,,,,,,
50X80CM - (53X83CM),INSTERS-178,INSERTS,30% Down 70% Feather,Normal,$58.60,,,,,,,,
50X80CM - (53X83CM),INSTERS-179,INSERTS,30% Down 70% Feather,Firm Fill,$61.20,,,,,,,,
50X80CM - (53X83CM),INSTERS-180,INSERTS,30% Down 70% Feather,Extra Firm Fill,$63.80,,,,,,,,
50X80CM - (53X83CM),INSTERS-181,INSERTS,50% Down 50% Feather,Normal,$80.50,,,,,,,,
50X80CM - (53X83CM),INSTERS-182,INSERTS,50% Down 50% Feather,Firm Fill,$83.10,,,,,,,,
50X80CM - (53X83CM),INSTERS-183,INSERTS,50% Down 50% Feather,Extra Firm Fill,$85.70,,,,,,,,
50X80CM - (53X83CM),INSTERS-184,INSERTS,80% Down 20% Feather,Normal,$95.00,,,,,,,,
50X80CM - (53X83CM),INSTERS-185,INSERTS,80% Down 20% Feather,Firm Fill,$97.60,,,,,,,,
50X80CM - (53X83CM),INSTERS-186,INSERTS,80% Down 20% Feather,Extra Firm Fill,$100.20,,,,,,,,
50X90CM - (53X93CM),INSTERS-187,INSERTS,100% Feather,Normal,$29.30,,,,,,,,
50X90CM - (53X93CM),INSTERS-188,INSERTS,100% Feather,Firm Fill,$31.90,,,,,,,,
50X90CM - (53X93CM),INSTERS-189,INSERTS,100% Feather,Extra Firm Fill,$34.50,,,,,,,,
50X90CM - (53X93CM),INSTERS-190,INSERTS,Duck Feather - Foam,Normal,$38.50,,,,,,,,
50X90CM - (53X93CM),INSTERS-191,INSERTS,Duck Feather - Foam,Firm Fill,$41.10,,,,,,,,
50X90CM - (53X93CM),INSTERS-192,INSERTS,Duck Feather - Foam,Extra Firm Fill,$43.70,,,,,,,,
50X90CM - (53X93CM),INSTERS-193,INSERTS,Duck Feather - Fibre,Normal,$38.50,,,,,,,,
50X90CM - (53X93CM),INSTERS-194,INSERTS,Duck Feather - Fibre,Firm Fill,$29.90,,,,,,,,
50X90CM - (53X93CM),INSTERS-195,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$30.50,,,,,,,,
50X90CM - (53X93CM),INSTERS-196,INSERTS,100% Polyester,Normal,$38.50,,,,,,,,
50X90CM - (53X93CM),INSTERS-197,INSERTS,100% Polyester,Firm Fill,$29.90,,,,,,,,
50X90CM - (53X93CM),INSTERS-198,INSERTS,100% Polyester,Extra Firm Fill,$30.50,,,,,,,,
50X90CM - (53X93CM),INSTERS-199,INSERTS,30% Down 70% Feather,Normal,$71.00,,,,,,,,
50X90CM - (53X93CM),INSTERS-200,INSERTS,30% Down 70% Feather,Firm Fill,$73.60,,,,,,,,
50X90CM - (53X93CM),INSTERS-201,INSERTS,30% Down 70% Feather,Extra Firm Fill,$76.20,,,,,,,,
50X90CM - (53X93CM),INSTERS-202,INSERTS,50% Down 50% Feather,Normal,$92.55,,,,,,,,
50X90CM - (53X93CM),INSTERS-203,INSERTS,50% Down 50% Feather,Firm Fill,$95.15,,,,,,,,
50X90CM - (53X93CM),INSTERS-204,INSERTS,50% Down 50% Feather,Extra Firm Fill,$97.75,,,,,,,,
50X90CM - (53X93CM),INSTERS-205,INSERTS,80% Down 20% Feather,Normal,$107.00,,,,,,,,
50X90CM - (53X93CM),INSTERS-206,INSERTS,80% Down 20% Feather,Firm Fill,$109.60,,,,,,,,
50X90CM - (53X93CM),INSTERS-207,INSERTS,80% Down 20% Feather,Extra Firm Fill,$112.20,,,,,,,,
55X55CM - (58X58CM),INSTERS-208,INSERTS,100% Feather,Normal,$12.00,,,,,,,,
55X55CM - (58X58CM),INSTERS-209,INSERTS,100% Feather,Firm Fill,$12.60,,,,,,,,
55X55CM - (58X58CM),INSTERS-210,INSERTS,100% Feather,Extra Firm Fill,$13.20,,,,,,,,
55X55CM - (58X58CM),INSTERS-211,INSERTS,Duck Feather - Foam,Normal,$15.00,,,,,,,,
55X55CM - (58X58CM),INSTERS-212,INSERTS,Duck Feather - Foam,Firm Fill,$15.60,,,,,,,,
55X55CM - (58X58CM),INSTERS-213,INSERTS,Duck Feather - Foam,Extra Firm Fill,$16.20,,,,,,,,
55X55CM - (58X58CM),INSTERS-214,INSERTS,Duck Feather - Fibre,Normal,$15.00,,,,,,,,
55X55CM - (58X58CM),INSTERS-215,INSERTS,Duck Feather - Fibre,Firm Fill,$15.60,,,,,,,,
55X55CM - (58X58CM),INSTERS-216,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$16.20,,,,,,,,
55X55CM - (58X58CM),INSTERS-217,INSERTS,100% Polyester,Normal,$15.00,,,,,,,,
55X55CM - (58X58CM),INSTERS-218,INSERTS,100% Polyester,Firm Fill,$15.60,,,,,,,,
55X55CM - (58X58CM),INSTERS-219,INSERTS,100% Polyester,Extra Firm Fill,$16.20,,,,,,,,
55X55CM - (58X58CM),INSTERS-220,INSERTS,30% Down 70% Feather,Normal,$30.25,,,,,,,,
55X55CM - (58X58CM),INSTERS-221,INSERTS,30% Down 70% Feather,Firm Fill,$32.85,,,,,,,,
55X55CM - (58X58CM),INSTERS-222,INSERTS,30% Down 70% Feather,Extra Firm Fill,$35.45,,,,,,,,
55X55CM - (58X58CM),INSTERS-223,INSERTS,50% Down 50% Feather,Normal,$45.10,,,,,,,,
55X55CM - (58X58CM),INSTERS-224,INSERTS,50% Down 50% Feather,Firm Fill,$47.70,,,,,,,,
55X55CM - (58X58CM),INSTERS-225,INSERTS,50% Down 50% Feather,Extra Firm Fill,$50.30,,,,,,,,
55X55CM - (58X58CM),INSTERS-226,INSERTS,80% Down 20% Feather,Normal,$65.00,,,,,,,,
