Product Name,SKU,Category,Category,Filling,Weight,
65X40CM,INSE-014,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,50% Down 50% Feather,Normal,
65X40CM,INSE-014,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,80% Down 20% Feather,Normal,
65X40CM,INSE-014,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,100% Feather,Normal,
65X65CM ,INSE-015,INSERTS,INSERTS,100% Feather,Firm Fill,
65X65CM ,INSE-015,INSERTS,INSERTS,100% Feather,Extra Firm Fill,
