Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
50X30CM,INSERTS,FL211,50% Down 50% Feather,Normal,$31.00,,,,,,,
50X30CM,INSERTS,FL212,50% Down 50% Feather,Firm Fill,33.6,,,,,,,
50X30CM,INSERTS,FL213,50% Down 50% Feather,Extra Firm Fill,36.2,,,,,,,
50X30CM,INSERTS,FL214,80% Down 20% Feather,Normal,$48.00,,,,,,,
50X30CM,INSERTS,FL215,80% Down 20% Feather,Firm Fill,50.6,,,,,,,
50X30CM,INSERTS,FL216,80% Down 20% Feather,Extra Firm Fill,53.2,,,,,,,
50X50CM,INSERTS,FL217,100% Feather,Normal,$11.50,,,,,,,
50X50CM,INSERTS,FL218,100% Feather,Firm Fill,12.1,,,,,,,
50X50CM,INSERTS,FL219,100% Feather,Extra Firm Fill,12.7,,,,,,,
50X50CM,INSERTS,FL220,Duck Feather - Foam,Normal,$13.50,,,,,,,
50X50CM,INSERTS,FL221,Duck Feather - Foam,Firm Fill,14.1,,,,,,,
50X50CM,INSERTS,FL222,Duck Feather - Foam,Extra Firm Fill,14.7,,,,,,,
50X50CM,INSERTS,FL223,Duck Feather - Fibre,Normal,$13.50,,,,,,,
50X50CM,INSERTS,FL224,Duck Feather - Fibre,Firm Fill,14.1,,,,,,,
50X50CM,INSERTS,FL225,Duck Feather - Fibre,Extra Firm Fill,14.7,,,,,,,
50X50CM,INSERTS,FL226,100% Polyester,Normal,$13.50,,,,,,,
50X50CM,INSERTS,FL227,100% Polyester,Firm Fill,14.1,,,,,,,
50X50CM,INSERTS,FL228,100% Polyester,Extra Firm Fill,14.7,,,,,,,
50X50CM,INSERTS,FL229,30% Down 70% Feather,Normal,$26.50,,,,,,,
50X50CM,INSERTS,FL230,30% Down 70% Feather,Firm Fill,29.1,,,,,,,
50X50CM,INSERTS,FL231,30% Down 70% Feather,Extra Firm Fill,31.7,,,,,,,
50X50CM,INSERTS,FL232,50% Down 50% Feather,Normal,$45.00,,,,,,,
50X50CM,INSERTS,FL233,50% Down 50% Feather,Firm Fill,47.6,,,,,,,
50X50CM,INSERTS,FL234,50% Down 50% Feather,Extra Firm Fill,50.2,,,,,,,
50X50CM,INSERTS,FL235,80% Down 20% Feather,Normal,$56.00,,,,,,,
