Product	Category	SKU	Filling	Weight	Price
45X70CM	INSERTS	POULOS147	Duck Feather - Fibre	Normal	$20.00
45X70CM	INSERTS	POULOS148	Duck Feather - Foam	Extra Firm Fill	$21.20
45X70CM	INSERTS	POULOS149	Duck Feather - Foam	Firm Fill	$20.60
45X70CM	INSERTS	POULOS150	Duck Feather - Foam	Normal	$20.00
50X110CM	INSERTS	POULOS151	100% Feather	Extra Firm Fill	$51.80
50X110CM	INSERTS	POULOS152	100% Feather	Firm Fill	$50.60
50X110CM	INSERTS	POULOS153	100% Feather	Normal	$50.00
50X110CM	INSERTS	POULOS154	100% Polyester	Extra Firm Fill	$47.20
50X110CM	INSERTS	POULOS155	100% Polyester	Firm Fill	$46.60
50X110CM	INSERTS	POULOS156	100% Polyester	Normal	$46.00
50X110CM	INSERTS	POULOS157	30% Down 70% Feather	Extra Firm Fill	$96.60
50X110CM	INSERTS	POULOS158	30% Down 70% Feather	Firm Fill	$96.00
50X110CM	INSERTS	POULOS159	30% Down 70% Feather	Normal	$95.00
50X110CM	INSERTS	POULOS160	50% Down 50% Feather	Extra Firm Fill	$114.85
50X110CM	INSERTS	POULOS161	50% Down 50% Feather	Firm Fill	$114.25
50X110CM	INSERTS	POULOS162	50% Down 50% Feather	Normal	$113.25
50X110CM	INSERTS	POULOS163	80% Down 20% Feather	Extra Firm Fill	$137.85
50X110CM	INSERTS	POULOS164	80% Down 20% Feather	Firm Fill	$137.25
50X110CM	INSERTS	POULOS165	80% Down 20% Feather	Normal	$136.25
50X110CM	INSERTS	POULOS166	Duck Feather - Fibre	Extra Firm Fill	$51.20
50X110CM	INSERTS	POULOS167	Duck Feather - Fibre	Firm Fill	$50.60
50X110CM	INSERTS	POULOS168	Duck Feather - Fibre	Normal	$50.00
50X110CM	INSERTS	POULOS169	Duck Feather - Foam	Extra Firm Fill	$51.20
50X110CM	INSERTS	POULOS170	Duck Feather - Foam	Firm Fill	$50.60
50X110CM	INSERTS	POULOS171	Duck Feather - Foam	Normal	$50.00
50X30CM	INSERTS	POULOS172	100% Feather	Extra Firm Fill	$14.40
50X30CM	INSERTS	POULOS173	100% Feather	Firm Fill	$13.80
