Product Name,Category,,Filling,Weight, Customer Price ,,
50X110CM ,INSERTS,PFH126,Duck Feather - Foam,Firm Fill,$46.60,,
50X110CM ,INSERTS,PFH127,Duck Feather - Foam,Extra Firm Fill,$47.20,,
50X110CM ,INSERTS,PFH128,Duck Feather - Fibre,Normal,$46.00,,
50X110CM ,INSERTS,PFH129,Duck Feather - Fibre,Firm Fill,$46.60,,
50X110CM ,INSERTS,PFH130,Duck Feather - Fibre,Extra Firm Fill,$47.20,,
50X110CM ,INSERTS,PFH131,100% Polyester,Normal,$46.00,,
50X110CM ,INSERTS,PFH132,100% Polyester,Firm Fill,$46.60,,
50X110CM ,INSERTS,PFH133,100% Polyester,Extra Firm Fill,$47.20,,
50X110CM ,INSERTS,PFH134,30% Down 70% Feather,Normal,$91.00,,
50X110CM ,INSERTS,PFH135,30% Down 70% Feather,Firm Fill,$93.60,,
50X110CM ,INSERTS,PFH136,30% Down 70% Feather,Extra Firm Fill,$96.20,,
50X110CM ,INSERTS,PFH137,50% Down 50% Feather,Normal,$109.25,,
50X110CM ,INSERTS,PFH138,50% Down 50% Feather,Firm Fill,$111.85,,
50X110CM ,INSERTS,PFH139,50% Down 50% Feather,Extra Firm Fill,$114.45,,
50X110CM ,INSERTS,PFH140,80% Down 20% Feather,Normal,$132.25,,
50X110CM ,INSERTS,PFH141,80% Down 20% Feather,Firm Fill,$134.85,,
50X110CM ,INSERTS,PFH142,80% Down 20% Feather,Extra Firm Fill,$137.45,,
50X30CM,INSERTS,PFH143,100% Feather,Normal,$13.20,,
50X30CM,INSERTS,PFH144,100% Feather,Firm Fill,$13.80,,
50X30CM,INSERTS,PFH145,100% Feather,Extra Firm Fill,$14.40,,
50X30CM,INSERTS,PFH146,Duck Feather - Foam,Normal,$15.00,,
50X30CM,INSERTS,PFH147,Duck Feather - Foam,Firm Fill,$15.60,,
50X30CM,INSERTS,PFH148,Duck Feather - Foam,Extra Firm Fill,$16.20,,
50X30CM,INSERTS,PFH149,Duck Feather - Fibre,Normal,$15.00,,
50X30CM,INSERTS,PFH150,Duck Feather - Fibre,Firm Fill,$15.60,,
50X30CM,INSERTS,PFH151,Duck Feather - Fibre,Extra Firm Fill,$16.20,,
50X30CM,INSERTS,PFH152,100% Polyester,Normal,$15.00,,
50X30CM,INSERTS,PFH153,100% Polyester,Firm Fill,$15.60,,
50X30CM,INSERTS,PFH154,100% Polyester,Extra Firm Fill,$16.20,,
50X30CM,INSERTS,PFH155,30% Down 70% Feather,Normal,$23.00,,
50X30CM,INSERTS,PFH156,30% Down 70% Feather,Firm Fill,$25.60,,
50X30CM,INSERTS,PFH157,30% Down 70% Feather,Extra Firm Fill,$28.20,,
50X30CM,INSERTS,PFH158,50% Down 50% Feather,Normal,$31.00,,
50X30CM,INSERTS,PFH159,50% Down 50% Feather,Firm Fill,$33.60,,
50X30CM,INSERTS,PFH160,50% Down 50% Feather,Extra Firm Fill,$36.20,,
50X30CM,INSERTS,PFH161,80% Down 20% Feather,Normal,$48.00,,
50X30CM,INSERTS,PFH162,80% Down 20% Feather,Firm Fill,$50.60,,
50X30CM,INSERTS,PFH163,80% Down 20% Feather,Extra Firm Fill,$53.20,,
50X50CM ,INSERTS,PFH164,100% Feather,Normal,$11.50,,
50X50CM ,INSERTS,PFH165,100% Feather,Firm Fill,$12.10,,
50X50CM ,INSERTS,PFH166,100% Feather,Extra Firm Fill,$12.70,,
50X50CM ,INSERTS,PFH167,Duck Feather - Foam,Normal,$13.50,,
50X50CM ,INSERTS,PFH168,Duck Feather - Foam,Firm Fill,$14.10,,
50X50CM ,INSERTS,PFH169,Duck Feather - Foam,Extra Firm Fill,$14.70,,
50X50CM ,INSERTS,PFH170,Duck Feather - Fibre,Normal,$13.50,,
50X50CM ,INSERTS,PFH171,Duck Feather - Fibre,Firm Fill,$14.10,,
