Product Name,SKU,Category,Filling,Weight,Customer Price
60X60CM - (63X63CM),INSE-013,INSERTS,100% Polyester,Extra Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,30% Down 70% Feather,Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,30% Down 70% Feather,Extra Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,50% Down 50% Feather,Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,50% Down 50% Feather,Extra Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,80% Down 20% Feather,Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,80% Down 20% Feather,Extra Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,100% Feather,Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,100% Feather,Extra Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,Duck Feather - Foam,Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,Duck Feather - Foam,Extra Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,Duck Feather - Fibre,Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,100% Polyester,Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,100% Polyester,Extra Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,30% Down 70% Feather,Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,30% Down 70% Feather,Extra Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,50% Down 50% Feather,Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,50% Down 50% Feather,Extra Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,80% Down 20% Feather,Firm Fill,
65X40CM - (68X43CM),INSE-014,INSERTS,80% Down 20% Feather,Extra Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,100% Feather,Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,100% Feather,Extra Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,Duck Feather - Foam,Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,Duck Feather - Foam,Extra Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,Duck Feather - Fibre,Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,100% Polyester,Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,100% Polyester,Extra Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,30% Down 70% Feather,Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,30% Down 70% Feather,Extra Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,50% Down 50% Feather,Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,50% Down 50% Feather,Extra Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,80% Down 20% Feather,Firm Fill,
65X65CM - (68X68CM),INSE-015,INSERTS,80% Down 20% Feather,Extra Firm Fill,
SINGLE 140X214CM - MATTRESS TOPPER FILLED,MATT-070,MATTRESS TOPPER FILLED,Duck,,
SINGLE 140X214CM - MATTRESS TOPPER FILLED,MATT-070,MATTRESS TOPPER FILLED,Goose,,
DOUBLE 184X214CM - MATTRESS TOPPER FILLED,MATT-071,MATTRESS TOPPER FILLED,Duck,,
DOUBLE 184X214CM - MATTRESS TOPPER FILLED,MATT-071,MATTRESS TOPPER FILLED,Goose,,
KING SINGLE - MATTRESS TOPPER FILLED,MATT-072,MATTRESS TOPPER FILLED,Duck,,
KING SINGLE - MATTRESS TOPPER FILLED,MATT-072,MATTRESS TOPPER FILLED,Goose,,
QUEEN - MATTRESS TOPPER FILLED,MATT-073,MATTRESS TOPPER FILLED,Duck,,
QUEEN - MATTRESS TOPPER FILLED,MATT-073,MATTRESS TOPPER FILLED,Goose,,
